Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
-7.013456e+003,3.000012e+002,-6.957974e-005,9.078845e-001
-8.017232e+003,2.999959e+002,6.449567e-005,-6.709622e-001
-9.021302e+003,3.000012e+002,7.911175e-005,-4.922952e-001
-1.002610e+004,3.000012e+002,9.984017e-005,-3.759458e-001
-1.500000e+004,2.999994e+002,2.220591e-004,-1.632968e-001
-2.000000e+004,2.999959e+002,3.568170e-004,-1.024498e-001
-2.500000e+004,2.999995e+002,4.944875e-004,-7.388441e-002
-3.000000e+004,2.999959e+002,6.329954e-004,-5.746914e-002
-3.500000e+004,2.999977e+002,7.716119e-004,-4.684274e-002
-4.000000e+004,3.000012e+002,9.108130e-004,-3.894733e-002
-4.500000e+004,2.999994e+002,1.049759e-003,-3.323390e-002
-5.000000e+004,2.999994e+002,1.189081e-003,-2.871000e-002
-5.500000e+004,2.999994e+002,1.328242e-003,-2.514280e-002
-6.000000e+004,3.000012e+002,1.467644e-003,-2.224134e-002
-6.500000e+004,3.000030e+002,1.606810e-003,-1.970135e-002
-7.000000e+004,2.999977e+002,1.746155e-003,-1.765718e-002
-7.000000e+004,2.999994e+002,1.746097e-003,-1.788952e-002
-6.500000e+004,2.999977e+002,1.606407e-003,-2.029515e-002
-6.000000e+004,3.000012e+002,1.466599e-003,-2.315760e-002
-5.500000e+004,2.999959e+002,1.326992e-003,-2.636299e-002
-5.000000e+004,2.999977e+002,1.187972e-003,-3.030207e-002
-4.500000e+004,2.999977e+002,1.048877e-003,-3.507439e-002
-4.000000e+004,2.999994e+002,9.097307e-004,-4.085365e-002
-3.500000e+004,2.999994e+002,7.711247e-004,-4.816772e-002
-3.000000e+004,3.000012e+002,6.320636e-004,-5.907328e-002
-2.500000e+004,2.999994e+002,4.934638e-004,-7.525942e-002
-2.000000e+004,2.999977e+002,3.561754e-004,-1.039288e-001
-1.500000e+004,2.999994e+002,2.213310e-004,-1.645712e-001
-1.002610e+004,2.999994e+002,9.734925e-005,-3.830355e-001
-9.020134e+003,3.000012e+002,7.798173e-005,-5.033333e-001
-8.016211e+003,2.999977e+002,6.451537e-005,-6.884813e-001
-7.012143e+003,2.999994e+002,2.752854e-005,-4.555074e-001
-6.022370e+003,3.000012e+002,-7.110033e-005,7.011462e-001
-5.019176e+003,2.999959e+002,-8.043199e-005,5.432844e-001
-4.015399e+003,2.999994e+002,-8.748796e-005,4.299915e-001
-3.011769e+003,2.999977e+002,-9.544865e-005,3.574716e-001
-2.000000e+003,2.999977e+002,-9.316715e-005,2.890589e-001
-1.750000e+003,2.999994e+002,-9.038735e-005,2.740663e-001
-1.500000e+003,3.000012e+002,-8.591554e-005,2.552294e-001
-1.250000e+003,3.000012e+002,-7.994122e-005,2.345161e-001
-1.000000e+003,3.000012e+002,-7.226029e-005,2.071830e-001
-9.000000e+002,3.000012e+002,-6.885818e-005,2.001010e-001
-8.000000e+002,2.999959e+002,-6.516826e-005,1.869969e-001
-7.000000e+002,2.999977e+002,-6.125226e-005,1.775419e-001
-6.000000e+002,3.000012e+002,-5.689345e-005,1.623013e-001
